Player,Country,,Position,born
Carlos Tévez,Argentina,Argentina,Forward,05-02-1984
Harry Thomas,Wales,Wales,Forward,28-02-1901
Mickey Thomas,Wales,Wales,Midfielder,07-07-1954
Ernie Thompson,England,England,Forward,21-06-1909
Arthur Thomson,England,England,Forward,Jul-03
Ben Thornley,England,England,Midfielder,21-04-1975
Tom Thorpe,England,England,Defender,13-01-1993
Paul Tierney,Ireland,Ireland,Midfielder,15-09-1982
Mads Timm,Denmark,Denmark,Forward,31-10-1984
Mark Todd,Northern Ireland,Northern Ireland,Midfielder,04-12-1967
Graeme Tomlinson,England,England,Forward,10-12-1975
Zoran Toši?,Serbia,Serbia,Midfielder,28-04-1987
Wilf Tranter,England,England,Defender,05-03-1945
Axel Tuanzebe,England,England,Midfielder,14-11-1997
Ryan Tunnicliffe,England,England,Midfielder,30-12-1992
Alexander Turnbull,Scotland,Scotland,Forward,1884
Chris Turner,England,England,Goalkeeper,15-09-1958
Michael Twiss,England,England,Midfielder,26-12-1977
Gary Twynham,Wales,Wales,Midfielder,08-02-1976
Ian Ure,Scotland,Scotland,Defender,07-12-1939
Antonio Valencia,Ecuador,Ecuador,Midfielder,04-08-1985
Donny van de Beek,Netherlands,Netherlands,Midfielder,18-04-1997
Raimond van der Gouw,Netherlands,Netherlands,Goalkeeper,24-03-1963
Edwin van der Sar,Netherlands,Netherlands,Goalkeeper,29-10-1970
Ruud van Nistelrooy,Netherlands,Netherlands,Forward,01-07-1976
Robin van Persie,Netherlands,Netherlands,Forward,06-08-1983
Raphaël Varane,France,France,Defender,25-04-1993
Guillermo Varela,Uruguay,Uruguay,Defender,24-03-1993
Marnick Vermijl,Belgium,Belgium,Defender,13-01-1992
Juan Sebastián Verón,Argentina,Argentina,Midfielder,09-03-1975
Víctor Valdés,Spain,Spain,Goalkeeper,14-01-1982
Nemanja Vidi?,Serbia,Serbia,Defender,21-10-1981
Dennis Viollet,England,England,Forward,20-09-1933
George Vose,England,England,Midfielder,04-10-1911
Colin Waldron,England,England,Defender,22-06-1948
Dennis Walker,England,England,Midfielder,26-10-1944
George Wall,England,England,Midfielder,20/02/1885
Danny Wallace,England,England,Forward,21-01-1964
Ronnie Wallwork,England,England,Midfielder,10-09-1977
Gary Walsh,England,England,Goalkeeper,21-03-1968
Joe Walton,England,England,Defender,05-06-1925
Johnny Walton,England,England,Forward,21-03-1928
Aaron Wan-Bissaka,England,England,Defender,26-11-1997
Arthur Warburton,England,England,Forward,10-09-1909
Jack Warner,Wales,Wales,Defender,21-09-1911
Jackie Wassall,England,England,Forward,11-02-1917
Willie Watson,Scotland,Scotland,Defender,04-12-1949
Jeffrey Wealands,England,England,Goalkeeper,26-08-1951
Neil Webb,England,England,Midfielder,30-07-1963
Danny Webber,England,England,Forward,28-12-1981
Colin Webster,Wales,Wales,Forward,17-07-1932
James Weir,England,England,Midfielder,04-08-1995
Danny Welbeck,England,England,Forward,26-11-1990
Charlie Wellens,England,England,Defender,05-12-2002
Richie Wellens,England,England,Midfielder,26-03-1980
Enoch West,England,England,Forward,1884
Bert Whalley,England,England,Midfielder,06-08-1912
Anto Whelan,Ireland,Ireland,Defender,23-11-1959
Liam Whelan,Ireland,Ireland,Midfielder,01-04-1935
Jeff Whitefoot,England,England,Midfielder,31-12-1933
Walter Whitehurst,England,England,Midfielder,07-06-1934
Norman Whiteside,Northern Ireland,Northern Ireland,Forward,07-05-1965
Neil Whitworth,England,England,Defender,12-04-1972
Ray Wilkins,England,England,Midfielder,14-09-1956
Ben Williams,England,England,Goalkeeper,27-08-1982
Brandon Williams,England,England,Defender,03-09-2000
Frank Williams,England,England,Midfielder,1908
Owen Williams,England,England,Midfielder,23/09/1896
Rees Williams,Wales,Wales,Midfielder,Jan-00
Ro-Shaun Williams,England,England,Defender,03-09-1998
Matty Willock,Montserrat,Montserrat,Midfielder,20-08-1996
David Wilson,England,England,Midfielder,23-03-1969
Jack Wilson,England,England,Midfielder,08/03/1897
James Wilson,England,England,Forward,01-12-1995
Mark Wilson,England,England,Midfielder,09-02-1979
Walter Winterbottom,England,England,Defender,31-01-1913
Dick Wombwell,England,England,Forward,1877
Neil Wood,England,England,Forward,04-01-1983
Nicholas Wood,England,England,Forward,06-01-1966
Ray Wood,England,England,Goalkeeper,11-06-1931
Scott Wootton,England,England,Defender,12-09-1991
Harry Worrall,England,England,Defender,19-11-1918
Paul Wratten,England,England,Midfielder,29-11-1970
Billy Wrigglesworth,England,England,Forward,12-11-1912
Dwight Yorke,Trinidad & Tobago,Trinidad & Tobago,Forward,03-11-1971
Ashley Young,England,England,Midfielder,09-07-1985
Tony Young,England,England,Defender,24-12-1952
Wilfried Zaha,Ivory Coast,Ivory Coast,Forward,10-11-1992
Ron-Robert Zieler,Germany,Germany,Goalkeeper,12-02-1989
