Player,Country,,Position,born
Bill Foulkes,England,England,Defender,05-01-1932
Fred,Brazil,Brazil,Midfielder,05-03-1993
Ezekiel Fryers,England,England,Defender,09-09-1992
Ethan Galbraith,Northern Ireland,Northern Ireland,Midfielder,11-05-2001
Stan Gallimore,England,England,Forward,14-04-1910
Dick Gardner,England,England,Forward,22-12-1913
James Garner,England,England,Midfielder,13-03-2001
Billy Garton,England,England,Defender,15-03-1965
David Gaskell,England,England,Goalkeeper,05-10-1940
Colin Gibson,England,England,Defender,06-04-1960
Darron Gibson,Ireland,Ireland,Midfielder,25-10-1987
Don Gibson,England,England,Midfielder,12-05-1929
Paul Gibson,England,England,Goalkeeper,01-11-1976
Terry Gibson,England,England,Forward,23-12-1962
John Gidman,England,England,Defender,10-01-1954
Ryan Giggs,Wales,Wales,Midfielder,29-11-1973
Johnny Giles,Ireland,Ireland,Midfielder,06-11-1940
Anthony Gill,England,England,Midfielder,06-03-1968
Oliver Gill,England,England,Defender,15-09-1990
Keith Gillespie,Northern Ireland,Northern Ireland,Forward,18-02-1975
Don Givens,Ireland,Ireland,Forward,09-08-1949
Willie Gladwin,England,England,Midfielder,28-03-1907
Angel Gomes,England,England,Midfielder,31-08-2000
Freddie Goodwin,England,England,Midfielder,28-06-1933
Andy Goram,Scotland,Scotland,Goalkeeper,13-04-1964
Sean Goss,England,England,Midfielder,01-10-1995
Alan Gowling,England,England,Forward,16-03-1949
Arthur Graham,Scotland,Scotland,Forward,26-10-1952
Deiniol Graham,England,England,Forward,04-10-1969
George Graham,Scotland,Scotland,Midfielder,30-11-1944
Lee Grant,England,England,Goalkeeper,27-01-1983
David Gray,Scotland,Scotland,Defender,04-05-1988
Ian Greaves,England,England,Defender,26-05-1932
Brian Greenhoff,England,England,Defender,28-04-1953
Jimmy Greenhoff,England,England,Forward,19-06-1946
Jonathan Greening,England,England,Midfielder,02-01-1979
Mason Greenwood,England,England,Forward,01-10-2001
Harry Gregg,Northern Ireland,Northern Ireland,Goalkeeper,27-10-1932
Clive Griffiths,Wales,Wales,Defender,22-01-1955
Jack Griffiths,England,England,Defender,15-09-1909
Ashley Grimes,Ireland,Ireland,Midfielder,02-08-1957
Anthony Grimshaw,England,England,Defender,08-12-1957
Jack Grimwood,England,England,Midfielder,25/10/1898
Harold Halse,England,England,Forward,01/01/1886
Reg Halton,England,England,Midfielder,11-07-1916
Mickey Hamill,Northern Ireland,Northern Ireland,Midfielder,19/01/1889
Ethan Hamilton,Scotland,Scotland,Midfielder,18-10-1998
Tommy Hamilton,Ireland,Ireland,Forward,1935
Jimmy Hanlon,England,England,Forward,12-10-1917
Jimmy Hanson,England,England,Forward,06-11-1904
Bob Hardisty,England,England,Forward,01-12-1921
Björn Hardley,Netherlands,Netherlands,Defender,19-12-2002
Harold Hardman,England,England,Midfielder,04/04/1882
Owen Hargreaves,England,England,Midfielder,20-01-1981
Bobby Harrop,England,England,Defender,25-08-1936
Josh Harrop,England,England,Midfielder,15-12-1995
Paul Harvey,Scotland,Scotland,Midfielder,28-08-1968
George Haslam,England,England,Midfielder,23/03/1898
Tony Hawksworth,England,England,Goalkeeper,15-01-1938
Frank Haydock,England,England,Defender,29-11-1940
Vince Hayes,England,England,Defender,24/03/1879
David Healy,Northern Ireland,Northern Ireland,Forward,05-08-1979
Colin Heath,England,England,Forward,31-12-1983
Tom Heaton,England,England,Goalkeeper,15-04-1986
Gabriel Heinze,Argentina,Argentina,Defender,19-04-1978
Dean Henderson,England,England,Goalkeeper,12-03-1997
Ángelo Henríquez,Chile,Chile,Forward,13-04-1994
David Herd,Scotland,Scotland,Forward,15-04-1934
Javier Hernández,Mexico,Mexico,Forward,01-06-1988
Tommy Heron,Scotland,Scotland,Defender,31-03-1936
Sam Hewson,England,England,Midfielder,28-11-1988
George Hicks,England,England,Forward,30-04-1902
Danny Higginbotham,Gibraltar,Gibraltar,Defender,29-12-1978
Mark Higgins,England,England,Defender,29-09-1958
Lal Hilditch,England,England,Forward,02/06/1894
Andy Hill,England,England,Defender,20-01-1965
Gordon Hill,England,England,Midfielder,01-04-1954
Graeme Hogg,Scotland,Scotland,Defender,17-06-1964
Jim Holton,Scotland,Scotland,Defender,11-04-1951
Fred Hopkin,England,England,Forward,23/09/1895
Sam Hopkinson,England,England,Forward,09-02-1903
Stewart Houston,Scotland,Scotland,Defender,28-08-1949
Mark Howard,England,England,Defender,29-01-1986
Tim Howard,USA,USA,Goalkeeper,06-03-1979
Graham Howell,England,England,Defender,18-02-1951
Mark Hughes,Wales,Wales,Forward,01-11-1963
Reg Hunter,Wales,Wales,Forward,25-10-1938
Zlatan Ibrahimovi?,Sweden,Sweden,Forward,03-10-1981
Odion Ighalo,Nigeria,Nigeria,Forward,16-06-1989
Paul Ince,England,England,Midfielder,21-10-1967
Bill Inglis,Scotland,Scotland,Defender,02/03/1894
Zidane Iqbal,Iraq,Iraq,Midfielder,27-04-2003
Denis Irwin,Ireland,Ireland,Defender,31-10-1965
Tommy Jackson,Northern Ireland,Northern Ireland,Midfielder,03-11-1946
William Jackson,Wales,Wales,Forward,27/01/1876
Daniel James,Wales,Wales,Midfielder,10-11-1997
Matty James,England,England,Midfielder,22-07-1991
Reece James,England,England,Defender,07-11-1993
Steve James,England,England,Defender,29-11-1949
Saidy Janko,Switzerland,Switzerland,Defender,22-10-1995
Adnan Januzaj,Belgium,Belgium,Midfielder,05-02-1995
Joel Pereira,Portugal,Portugal,Goalkeeper,28-06-1996
Roy John,Wales,Wales,Goalkeeper,29-01-1911
Ronny Johnsen,Norway,Norway,Defender,10-06-1969
David Johnson,Jamaica,Jamaica,Forward,15-08-1976
Eddie Johnson,England,England,Forward,20-09-1984
Billy Johnston,Scotland,Scotland,Defender,16-01-1901
Sam Johnstone,England,England,Goalkeeper,25-03-1993
David Jones,England,England,Midfielder,04-11-1984
Fred Jones,Wales,Wales,Defender,01/1867
Mark Jones,England,England,Defender,15-06-1933
Peter Jones,England,England,Defender,30-11-1937
Phil Jones,England,England,Defender,21-02-1992
Ritchie Jones,England,England,Midfielder,26-09-1986
Tom Jones,Wales,Wales,Defender,06/12/1899
Tommy Jones,Wales,Wales,Forward,06-12-1909
Joe Jordan,Scotland,Scotland,Forward,15-12-1951
Nikola Jovanovi?,Montenegro,Montenegro,Defender,18-09-1952
Shinji Kagawa,Japan,Japan,Midfielder,17-03-1989
Andrey Kanchelskis,Russia,Russia,Midfielder,23-01-1969
Michael Keane,England,England,Defender,11-01-1993
Roy Keane,Ireland,Ireland,Midfielder,10-08-1971
Will Keane,Ireland,Ireland,Forward,11-01-1993
Andrew Kellett,England,England,Defender,10-11-1993
James Kelly,England,England,Midfielder,02-05-1957
Fred Kennedy,England,England,Forward,23-10-1902
Pat Kennedy,Ireland,Ireland,Defender,09-10-1934
Brian Kidd,England,England,Forward,29-05-1949
Joshua King,Norway,Norway,Forward,15-01-1992
Albert Kinsey,England,England,Forward,16-09-1945
Kléberson,Brazil,Brazil,Midfielder,19-06-1979
Frank Kopel,Scotland,Scotland,Defender,28-03-1949
Mat?j Ková?,Czech Republic,Czech Republic,Goalkeeper,17-05-2000
Tomasz Kuszczak,Poland,Poland,Goalkeeper,20-03-1982
Ethan Laird,England,England,Defender,05-08-2001
Joe Lancaster,England,England,Goalkeeper,28-04-1926
Martin Lane,England,England,Defender,12-04-1961
Tommy Lang,Scotland,Scotland,Forward,03-04-1906
Len Langford,England,England,Goalkeeper,30/05/1899
Henrik Larsson,Sweden,Sweden,Forward,20-09-1971
Denis Law,Scotland,Scotland,Forward,24-02-1940
Tom Lawrence,Wales,Wales,Forward,13-01-1994
Craig Lawton,England,England,Midfielder,05-01-1972
Nobby Lawton,England,England,Forward,25-03-1940
Kieran Lee,England,England,Defender,22-06-1988
Jim Leighton,Scotland,Scotland,Goalkeeper,24-07-1958
Dylan Levitt,Wales,Wales,Midfielder,17-11-2000
Eddie Lewis,England,England,Forward,03-01-1935
Leslie Lievesley,England,England,Defender,23-06-1911
Anders Lindegaard,Denmark,Denmark,Goalkeeper,13-04-1984
Victor Lindelöf,Sweden,Sweden,Defender,17-07-1994
Jesse Lingard,England,England,Midfielder,15-12-1992
George Livingstone,Scotland,Scotland,Forward,05/05/1870
Arthur Lochhead,Scotland,Scotland,Forward,08/12/1897
Donald Love,Scotland,Scotland,Defender,02-12-1994
John Lowey,England,England,Midfielder,07-03-1958
Tommy Lowrie,Scotland,Scotland,Midfielder,14-01-1928
Romelu Lukaku,Belgium,Belgium,Forward,13-05-1993
George Lydon,England,England,Defender,24-06-1902
Mark Lynch,England,England,Defender,02-09-1981
Davy Lyner,Northern Ireland,Northern Ireland,Forward,09/01/1893
Sammy Lynn,England,England,Defender,25-12-1920
Lou Macari,Scotland,Scotland,Midfielder,04-06-1949
Ted MacDougall,Scotland,Scotland,Forward,08-01-1947
Federico Macheda,Italy,Italy,Forward,22-08-1991
Jon Macken,Ireland,Ireland,Forward,07-09-1977
Harry Maguire,England,England,Defender,05-03-1993
Giuliano Maiorana,England,England,Midfielder,18-04-1969
Tyrell Malacia,Netherlands,Netherlands,Defender,17-08-1999
Tom Manley,England,England,Forward,07-10-1912
Frank Mann,England,England,Defender,17/03/1891
Herbert Mann,England,England,Forward,30-12-1907
Manucho,Angola,Angola,Forward,07-03-1983
Phil Marsh,England,England,Forward,15-11-1986
